communityCollege
f,2.7
f,2.9
f,2.7
f,3.7
f,2.7
f,2.8
f,2.8
f,3.0
f,2.8
f,2.8
f,2.7
f,2.8
f,3.4
f,3.1
f,2.9
f,2.8
f,2.9
f,2.7
f,3.1
f,2.9
f,2.9
f,2.5
f,3.4
f,3.7
f,2.1
f,2.7
f,3.1
g,2.8
g,2.9
g,3.1
g,2.5
g,2.7
s,4.1
s,2.6
s,2.7
s,2.9
s,6.6
s,4.5
s,3.0
s,4.1
s,2.5
s,2.7
s,2.7
s,5.5
f,1.3
f,2.9
f,4.6
f,2.5
f,3.3
f,3.2
f,3.2
f,3.9
f,2.6
f,3.9
f,3.6
g,0.0001893939393939394
s,7.3
s,6.5
s,7.2
s,3.4
s,7.8
s,7.2
s,6.9
s,6.3
s,0.0001893939393939394
s,6.6
s,7.2
f,4.7
f,0.5
f,2.0
f,2.7
f,1.2
f,0.4
f,0.4
f,4.8
f,0.09071969696969696
f,2.0
f,0.5
f,3.1
f,0.2
f,2.6
f,2.6
f,1.7
f,2.7
f,1.4
f,2.7
f,1.0
f,4.5
f,1.9
f,1.1
f,1.6
f,0.1
f,1.7
f,2.5
f,1.8
f,2.0
f,2.4
f,0.4
f,1.1
f,1.7
f,1.8
f,4.3
f,2.0
f,2.6
g,0.0001893939393939394
g,2.3
g,1.6
g,2.2
g,4.4
g,3.7
g,2.7
g,0.3
g,2.7
s,3.6
s,0.7
s,7.7
s,3.2
s,2.2
s,4.7
s,2.7
s,3.3
s,0.3
s,2.0
s,1.2
s,6.6
s,0.3
s,1.4
s,1.8
f,4.1
f,2.5
f,2.9
g,1.4
s,0.0001893939393939394
f,2.7
f,1.7
f,1.1
f,1.2
f,2.9
f,1.0
f,1.7
f,2.1
f,0.2
f,2.8
f,2.9
f,2.8
f,2.0
f,1.9
f,3.1
f,3.2
f,3.7
f,1.2
f,1.6
f,3.4
f,2.8
f,3.5
f,1.0
f,3.2
f,4.8
f,1.6
f,1.4
f,3.1
f,1.0
f,3.5
f,1.3
f,4.4
g,0.3
g,4.2
g,1.4
g,2.5
g,2.7
s,1.8
s,6.4
